Locality,Dataset,Generalist_0,Low_Specialist_1,Moderate_Specialist_2,High_Specialist_3,Total_Specialists,Total_Species
ZLM_A,All Combined,10,5,9,0,14,24
ZLM_B,All Combined,8,11,3,0,14,22
ZMB_A,All Combined,9,7,8,1,16,25
ZMB_B,All Combined,6,3,8,0,11,17
ZMK_A,All Combined,19,7,5,1,13,32
ZMK_B,All Combined,10,8,8,1,17,27
BBN_A,Smyk Method,7,2,2,0,4,11
BBN_B,Smyk Method,6,5,2,0,7,13
BHN_A,Smyk Method,5,1,1,0,2,7
BHN_B,Smyk Method,3,1,3,0,4,7
BZN_A,Smyk Method,2,1,2,0,3,5
BZN_B,Smyk Method,5,2,4,0,6,11
BRK_A,Smyk Method,5,1,1,0,2,7
BRK_B,Smyk Method,8,3,2,0,5,13
DVR_A,Smyk Method,6,1,4,0,5,11
DVR_B,Smyk Method,8,1,0,0,1,9
HLN_A,Smyk Method,8,0,3,0,3,11
HLN_B,Smyk Method,2,1,3,0,4,6
HVZ_A,Smyk Method,8,2,2,0,4,12
HVZ_B,Smyk Method,9,4,1,0,5,14
HRD_A,Smyk Method,6,1,3,0,4,10
HRD_B,Smyk Method,6,2,3,0,5,11
HRC_A,Smyk Method,6,0,4,0,4,10
HRC_B,Smyk Method,3,0,1,0,1,4
CHV_A,Smyk Method,8,1,2,0,3,11
CHV_B,Smyk Method,7,2,2,0,4,11
KLS_A,Smyk Method,4,1,1,0,2,6
KLS_B,Smyk Method,2,1,2,0,3,5
KCD_A,Smyk Method,12,5,1,0,6,18
KCD_B,Smyk Method,5,1,1,0,2,7
KKL_A,Smyk Method,5,0,2,0,2,7
KKL_B,Smyk Method,9,2,5,0,7,16
LCL_A,Smyk Method,3,1,3,0,4,7
LCL_B,Smyk Method,3,3,2,0,5,8
LVJ_A,Smyk Method,4,2,0,0,2,6
LVJ_B,Smyk Method,6,3,5,0,8,14
NSV_A,Smyk Method,7,2,2,0,4,11
NSV_B,Smyk Method,3,0,0,0,0,3
OKL_A,Smyk Method,3,1,2,0,3,6
OKL_B,Smyk Method,4,0,2,0,2,6
NVS_A,Smyk Method,3,1,4,0,5,8
NVS_B,Smyk Method,1,0,2,0,2,3
PRZ_A,Smyk Method,0,1,3,1,5,5
PRZ_B,Smyk Method,2,0,1,0,1,3
PKV_A,Smyk Method,9,2,4,0,6,15
