Locality,LOC,PLOT,FULL_NAME,pH_adjusted,Algoscore,Moisture_Topsoil,WTD_median,F_CLASS_median,EIV_weighted_by_species_ranges_and_covers,EIV_unweighted,Alkalinity,pH_soil,TOC,TN_sqrt,PO4_log,Cl_log,NO2,SO4_log,NO3_log,F,HCO3_sqrt,NH4 _log,K_log,Na,Li,Mg_sqrt,Sr_sqrt,Ba_sqrt,Ca_sqrt,Fe_log,Mn_log,Zn_log,Al_log,Age,Age_Reg5km,Age_Reg25_km,Aream2,Areakm2
SFR_B,SFR,B,Šafranice B,5.93,5,4,15,8,7.74,7.51,0.57,5.4,292,3.619392214,-0.640164518,1.230448921,0.047745539,1.184691431,-0.698970004,0.01417202,11.13552873,0.008600172,1.086359831,6.76,0.01,2.48394847,0.360555128,0.002088494,5.138093031,2.401400541,0.959994838,-0.244125144,1.709269961,3614,3614,13918,7716,0.008
STR_A,STR,A,Sta?kovský rybník A,4.61,1,1,1,2,8.84,8.27,0.43,4.4,411,1.876166304,-1.37675071,0.298853076,0.031462812,0.480006943,-1.301029996,0.003963286,3.046309242,-1.425449389,0.029383778,3.38,0.001890658,0.92736185,0.202000854,0.004472186,2.114237451,1.372912003,-1.045757491,-1.698970004,0.409933123,90,90,10939,5271,0.005
STR_B,STR,B,Sta?kovský rybník B ,4.16,1,2,2.5,3.5,8.25,7.91,0.48,4.6,403,1.962141687,-1.236572006,0.071882007,0.041611318,0.29666519,-2.61637321,0.01006384,3.619392214,-0.721246399,0.037426498,3.43,0.01,0.969535971,0.078674642,0.004301421,2.123676058,1.495544338,-0.657577319,-1.22184875,0.675778342,90,90,10939,5271,0.005
SVD_A,SVD,A,Starý Vdovec A,4.52,1,1,0,5.5,9.72,8.87,0.44,4.2,285,1.682260384,-1.920818754,0.916980047,0.020526084,0.80685803,-1,0.008028341,2.692582404,-1.722424728,0.149219113,5.61,0.02,1.126942767,0.206196628,0.008474603,1.915724406,1.198657087,-1.397940009,-2,0.44870632,185,185,13469,1305,0.001
SVD_B,SVD,B,Starý Vdovec B ,5.07,1,3,20,7,7.56,7.72,0.97,4.4,411,3.125699922,-1.142667504,1.535547279,0.024215524,0.488550717,-0.602059991,0.017447407,2.734958866,-0.721246399,0.404833717,13.8,0.01,1.640121947,0.264575131,0.12,3.00499584,1.567026366,-0.677780705,-1.096910013,1.255272505,185,185,13469,1305,0.001
VLS_A,VLS,A,V Lisovech A,6.43,2,1,0,5,8.31,7.85,2.99,5.4,432,1.212435565,-2.045757491,0.717670503,0.001515875,-0.173925197,-1.556304526,0.23,10.44030651,-0.585026652,0.45331834,8.39,0.02,2.360084744,0.346410162,0.006067695,4.837354649,2.053078443,0.204119983,-1.096910013,0.409933123,662,6234,11997,28025,0.028
VLS_B,VLS,B,V Lisovech B ,6.01,4,3,13,6.5,7.75,7.58,2.09,6.1,200,1.341640786,-1.886056648,0.437750563,0.004130177,-0.677780705,-2.018848274,0.2,8.826097665,-1.397940009,0.113943352,9.54,0.01,1.941648784,0.244948974,0.004407619,4.23083916,2.240549248,0.376576957,-0.853871964,0.697229343,662,6234,11997,28025,0.028
VRJ_A,VRJ,A,V Rájích A ,6.56,2,1,1,3.5,8.41,8.04,2.15,4.9,356,1.424780685,-1.886056648,1.139879086,0.033000012,1.503790683,-0.619788758,0.008737127,8.538149682,-0.769551079,0.733197265,5.18,0.001606742,3.193743885,0.3,0.15,4.816637832,2.193124598,1.10720997,-0.346787486,0.547774705,1313,1313,13469,2284,0.002
VRJ_B,VRJ,B,V Rájích B ,6.16,3,2,9,6,7.57,7.4,0.7,6.2,403,3.11608729,-0.896196279,1.093421685,0.057294647,1.62572391,-0.22184875,0.011149827,3.507135583,-0.337242168,0.80140371,5.04,0.004863775,2.872281323,0.244948974,0.23,4.5607017,1.589949601,-0.397940009,-0.853871964,1.786751422,1313,1313,13469,2284,0.002
ZHJ_A,ZHJ,A,Zhejral A ,5.67,3,2,9.5,4,7.89,7.54,1.91,4.5,395,1.476482306,-1.420216403,0.071882007,0.040142873,0.507855872,-1.459512525,0.12,6.363961031,-0.769551079,0.222716471,3.2,0.008819171,1.652271164,0.264575131,0.000189823,3.687817783,3.004321374,0.103803721,-0.677780705,1.28780173,6080,6234,11997,76109,0.076
ZHJ_B,ZHJ,B,Zhejral B ,4.75,4,4,17.5,6.5,8.51,8.03,1.2,4.6,418,2.414539294,-1.318758763,0.51054501,0.039353432,-0.148741651,-2.184524248,0.18,2.19089023,-0.113509275,0.503790683,4.19,0.003746541,1.15758369,0.264575131,0.00106504,2.886173938,1.51851394,-0.522878745,-1.15490196,0.737987326,6080,6234,11997,76109,0.076
ZLM_A,ZLM,A,Zlámanec A,6.12,3,2,5,5.5,8.31,8.12,2.36,5.2,361,3.507135583,-0.688246139,0.534026106,0.029731963,0.025305865,-2.071898581,0.018267458,8.871302046,-0.167491087,0.123851641,8,0.007676727,1.997498436,0.374165739,0.14,3.962322551,1.64738297,-0.537602002,-0.619788758,1.184691431,2351,13419,13918,7783,0.008
ZLM_B,ZLM,B,Zlámanec B,5.78,5,5,25,8,6.37,6.54,0.8,4.6,370,2.253885534,-1.27572413,0.146128036,0.033797404,0.698970004,-1.397940009,0.1,8.160882305,-0.259637311,0.245512668,8.69,0.007267521,1.857417562,0.4,0.15,3.924283374,0.792391689,-0.920818754,-1.096910013,1.021189299,2351,13419,13918,7783,0.008
ZMB_A,ZMB,A,Žemli?ka bazická A,6.33,2,3,3.5,4,8.22,7.63,1.14,5.4,385,1.053565375,-2.045757491,0.808210973,0.003030044,0.834420704,-1.580058129,0.010961515,5.692099788,-1.301029996,0.127104798,5.52,0.001460981,2.334523506,0.2,0.04,2.835489376,1.600972896,-0.251811973,-1.22184875,0.369215857,874,874,10939,1032,0.001
ZMB_B,ZMB,B,Žemli?ka bazická B ,6.65,3,4,12.5,6.5,7.52,7.33,2.54,5.5,320,2.582634314,-0.779891912,0.934498451,0.034446134,0.298853076,-2.821758355,0.005316562,10.63014581,-0.13667714,1.053078443,7.29,0.001295263,2.870540019,0.3,0.2,4.806245936,1.755874856,0.350248018,-0.698970004,1.269512944,874,874,10939,1032,0.001
ZMK_A,ZMK,A,Žemli?ka kyselá A ,4.77,5,5,24.25,7.5,7.38,7,0.31,3.7,372,0.774596669,-1.37675071,0.139879086,0.04552406,1.546542663,-2.057721364,0.013002752,2.114237451,-1.301029996,0.257678575,1.21,0.008319291,1.615549442,0.2,0.1,2.519920634,1.201397124,-1,-1.397940009,1.250420002,109,874,10939,2543,0.003
ZMK_B,ZMK,B,Žemli?ka kyselá B,3.93,5,4,23.5,8,7.51,7.38,0.21,3.9,397,2.302172887,-0.872895202,0.69019608,0.023798859,1.086359831,-1.22184875,0.007143049,1.96468827,-0.431798276,-0.040958608,2.53,0.01,0.866025404,0.316227766,0.21,1.284523258,1.687528961,-0.769551079,-0.886056648,1.715167358,109,874,10939,2543,0.003
